epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1053.96,0.9209,0.69713,1.24992,0.97052,1,0.995,0.82144,0.80868,0.29835,1.31758,0.000170692,0.000170692,0.000170692
44,1078.08,0.89755,0.64637,1.23509,0.98415,1,0.995,0.81365,0.84685,0.29944,1.3534,0.000161518,0.000161518,0.000161518
45,1102.21,0.89056,0.65129,1.23571,0.97836,1,0.995,0.81056,0.84696,0.30801,1.34981,0.000152344,0.000152344,0.000152344
46,1126.58,0.87285,0.61017,1.2327,0.98755,1,0.995,0.82452,0.79705,0.28757,1.32519,0.00014317,0.00014317,0.00014317
47,1150.84,0.87131,0.57999,1.21665,0.98261,1,0.995,0.82843,0.80255,0.28916,1.31164,0.000133996,0.000133996,0.000133996
48,1175.33,0.88347,0.61743,1.22755,0.97781,0.99669,0.995,0.81722,0.82197,0.29658,1.3375,0.000124822,0.000124822,0.000124822
49,1199.24,0.88331,0.61886,1.22757,0.97797,1,0.995,0.82905,0.82186,0.28654,1.34715,0.000115648,0.000115648,0.000115648
50,1223.91,0.86125,0.58895,1.2251,0.98102,0.99998,0.995,0.82888,0.78087,0.27051,1.29959,0.000106474,0.000106474,0.000106474
51,1249.23,0.63035,0.32491,1.22784,0.98415,1,0.995,0.82981,0.80964,0.28523,1.32442,9.73e-05,9.73e-05,9.73e-05
52,1274.54,0.62838,0.28946,1.21068,0.97101,1,0.995,0.82281,0.79309,0.28364,1.31406,8.8126e-05,8.8126e-05,8.8126e-05
53,1298.75,0.61437,0.28634,1.19582,0.98259,1,0.995,0.81048,0.81611,0.28541,1.3402,7.8952e-05,7.8952e-05,7.8952e-05
54,1322.94,0.60164,0.26602,1.19716,0.97521,1,0.995,0.81822,0.79496,0.28098,1.33068,6.9778e-05,6.9778e-05,6.9778e-05
55,1347.28,0.59634,0.26064,1.18614,0.98085,1,0.995,0.83523,0.76682,0.26929,1.29196,6.0604e-05,6.0604e-05,6.0604e-05
56,1371.63,0.59043,0.25615,1.19428,0.98809,1,0.995,0.83299,0.77916,0.26762,1.30303,5.143e-05,5.143e-05,5.143e-05
57,1395.56,0.57947,0.25622,1.17623,0.98777,1,0.995,0.83418,0.7775,0.27011,1.31065,4.2256e-05,4.2256e-05,4.2256e-05
58,1419.44,0.57296,0.24219,1.16873,0.98476,1,0.995,0.83172,0.76812,0.26095,1.29139,3.3082e-05,3.3082e-05,3.3082e-05
59,1443.55,0.57302,0.24322,1.16459,0.98445,1,0.995,0.83116,0.78574,0.26121,1.31317,2.3908e-05,2.3908e-05,2.3908e-05
60,1467.66,0.55784,0.23311,1.16742,0.98357,1,0.995,0.83792,0.75631,0.25966,1.27755,1.4734e-05,1.4734e-05,1.4734e-05
